sy;NtWaitForSingleObject;GetLastInputInfo;InSendMessageEx;memcpy_s;LdrLockLoaderLock;RtlDestroyProcessParameters;RtlCreateProcessParametersEx;RtlGetOwnerSecurityDescriptor;LockWindowUpdate;CsrClientCallServer;GetStringTypeW;RtlMoveMemory;RtlReAllocateHeap;RtlDosPathNameToNtPathName_U;NtOpenMutant
1;1;0;0;0;17;0;0;1;0;0;0;0;0;1;0
1;1;0;0;0;3;0;0;4;0;0;2;0;0;4;0
1;24;0;0;33;4;1;1;11;0;1;1;0;5;0;1
1;2;0;0;0;17;0;0;4;0;3;0;0;1;4;0
1;16;0;0;0;0;7;7;13;0;6;0;0;0;0;0
1;16;0;0;0;0;7;7;20;0;6;0;0;0;0;0
1;34;0;0;3;1;1;1;20;0;2;0;2;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;10;0;0;0;0;0;10;0
1;0;0;0;0;0;0;0;5;0;1;0;0;0;629;0
1;24;0;0;33;4;1;1;11;0;1;1;0;5;0;1
1;24;0;0;33;4;1;1;11;0;1;1;0;5;0;1
1;4;0;0;0;2;0;0;7;0;1;2;0;0;0;0
1;16;0;0;0;2;1;1;0;0;3;2;0;0;0;0
1;1;0;0;0;0;0;0;4;0;1;1;0;0;338;0
1;4;0;0;0;2;1;1;7;0;2;2;0;0;0;0
1;0;0;0;2;1;0;0;16;0;1;0;0;0;16;0
1;10;0;0;0;0;0;0;10;0;1;0;0;0;23;6
1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0
1;5;0;0;32;0;2;2;24;0;3;0;1;5;0;1
1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0
1;5;0;0;0;0;1;1;11;0;2;0;0;0;11;0
1;1967;0;0;0;6;0;0;7;0;1;1;0;0;0;0
1;33;0;0;35;0;2;4;21;0;3;2;2;5;0;2
1;24;0;1;37;0;2;2;19;0;3;0;0;5;0;4
1;6;0;0;32;0;1;1;21;0;3;0;1;5;0;1
1;16;0;0;0;0;7;7;20;0;6;0;0;0;0;0
1;0;0;0;0;0;1;1;7;0;2;0;0;1;8;1
1;7;0;0;0;22;1;1;29;0;2;0;0;32;1;0
1;2;0;2;0;1;0;0;1;0;1;0;0;30;0;3
1;72;0;0;45;7;0;0;54;0;6;0;0;5;0;1
1;16;0;0;0;0;7;7;19;0;6;0;0;0;0;0
1;8;0;0;0;14;0;0;18;0;0;0;0;0;21;0
1;16;0;0;0;0;7;7;13;0;6;0;0;0;0;0
1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5;0;0;0;0;1;1;18;0;2;0;0;1;18;0
1;8;0;0;0;26;1;1;31;0;3;0;0;33;1;0
1;16;0;0;0;0;7;7;20;0;6;0;0;0;0;0
1;16;0;0;0;0;7;7;18;0;6;0;0;0;0;0
1;16;0;0;5;4;0;0;33;0;1;0;0;2;0;0
1;16;0;0;0;0;7;7;19;0;6;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2;0;0;0;1;0;0;7;0;2;0;0;2;0;0
1;5;0;0;0;0;0;0;18;0;1;0;0;1;17;0
1;21;0;0;0;18;0;0;18;0;4;0;0;26;0;3
1;1;0;0;0;0;5;5;0;0;2;0;0;31;0;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5;0;0;0;30;0;0;18;0;0;0;0;0;0;1
1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
1;1;0;0;0;0;1;1;1;0;2;0;0;0;1;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;836;0;0;684;86;0;0;13;0;1;0;0;22;0;0
1;6;0;0;0;0;0;0;9;0;2;0;0;26;0;3
1;4;0;0;0;0;1;1;8;0;2;0;0;0;0;0
1;15;0;53;32;0;1;1;18;0;3;0;0;5;0;4
1;2;0;0;0;0;0;0;3;0;1;0;0;25;3;3
1;0;0;0;0;1;0;0;13;0;0;0;0;0;13;0
1;0;0;0;0;0;1;1;10;0;2;0;0;1;11;1
1;2;0;0;0;17;1;1;11;0;4;0;0;1;12;1
1;1;0;0;0;0;0;0;18;0;1;0;0;27;18;3
1;0;0;0;0;27;0;0;3;0;1;1;0;0;3;0
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;133;0;0;4;4;3;3;20;0;1;0;0;6;0;0
1;14;0;0;0;0;0;0;0;0;1;0;0;0;10;0
1;0;0;0;0;1;1;1;0;0;2;3;0;0;0;0
1;1;0;0;0;11;0;0;9;0;3;0;0;0;9;0
1;7;0;0;32;0;1;1;11;0;1;0;1;5;0;1
1;5;0;0;34;0;2;2;21;0;3;0;1;5;0;1
1;11;0;0;34;37;0;0;36;0;5;0;0;5;0;1
1;7;0;1;35;0;4;4;18;0;3;0;0;5;0;4
1;0;0;0;0;3;0;0;5;0;1;0;0;0;5;0
1;5;0;0;32;0;1;1;18;0;2;0;1;5;0;1
1;16;0;0;0;0;7;7;13;0;6;0;0;0;0;0
1;0;0;0;0;0;0;0;18;0;1;0;0;2;18;0
1;995;0;0;3;1;0;0;38;0;1;0;0;6;0;1
1;16;0;0;5;4;0;0;33;0;1;0;0;2;0;0
1;0;0;0;0;0;0;0;12;0;1;0;0;0;13;1
1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
1;0;0;0;0;0;0;0;9;0;0;0;0;0;9;1
1;6;0;0;0;251;1;1;16;0;5;0;0;0;0;1
1;8;0;0;0;22;1;1;29;0;2;0;0;32;1;0
1;7;0;0;0;0;1;1;19;0;2;0;0;0;19;0
1;4;0;0;0;41;0;0;24;0;0;0;0;0;0;1
1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
1;1;0;0;0;0;1;1;4;0;1;0;0;0;5;0
1;14;0;0;32;4;3;3;24;0;8;0;0;5;0;5
1;0;0;0;0;233;1;1;0;0;4;0;0;1;1;1
1;6;0;0;32;1;1;1;13;0;0;0;1;5;0;2
1;6;0;0;33;1;2;2;24;0;4;0;1;5;0;1
1;1;0;0;0;0;5;5;0;0;2;0;0;31;0;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;1;1;8;0;2;0;0;1;9;1
1;4;0;0;0;0;1;1;7;0;2;0;0;0;8;0
1;24;0;0;33;4;1;1;11;0;1;1;0;5;0;1
1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
1;0;0;0;0;0;1;1;5;0;1;0;0;0;6;0
1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0
1;433;0;0;716;23;2;2;32;0;3;0;0;5;0;1
1;10;0;0;32;13;1;1;13;1;3;0;0;5;0;1
1;5;0;0;33;0;2;2;21;3;2;0;1;5;0;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;16;0;0;0;0;7;7;20;0;6;0;0;0;0;0
1;8;0;0;0;22;1;1;30;0;2;0;0;32;1;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;16;0;0;0;0;1;1;24;4;0;0;0;2;0;1
1;16;0;0;0;0;7;7;20;0;6;0;0;0;0;0
1;0;0;0;2;1;0;0;16;0;1;0;0;0;16;0
1;0;0;0;2;1;0;0;9;0;1;0;0;0;9;0
1;16;0;0;0;0;7;7;20;0;6;0;0;0;0;0
1;153;0;0;3;6;0;0;23;0;2;0;2;2;0;0
1;5;0;0;36;0;3;3;24;0;4;0;1;5;0;1
0;10689;0;22;257;0;0;0;4;0;0;0;0;11;0;3
0;26;0;7;66;0;0;0;0;2;0;0;0;11;0;3
0;76;0;10;23;35;1;1;0;0;4;0;0;64;0;5
0;22;0;12;702;0;1;0;1;2;0;0;0;136;0;3
0;61;0;5;171;0;0;0;0;3;0;0;0;28;0;3
0;590;0;30;346;197;1;0;3;5;5;0;0;5;0;4
0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0
0;53;0;10;875;0;1;0;22;17;5;0;0;330;0;0
0;8037;0;3;221;0;0;0;0;0;4;0;0;12;0;3
0;312;0;11;1346;31;0;0;1;0;1;0;0;5;0;5
0;8451;0;1;132;0;0;0;1;1;0;0;0;12;0;3
0;10804;0;45;800;77;1;0;8;2;0;0;0;15;0;7
0;991;0;4;263;0;0;0;0;0;0;0;0;71;0;0
0;214;0;0;2495;0;3;5;4;11;1;0;0;12;0;4
0;10845;0;1;100;0;0;0;0;0;0;0;0;11;0;3
0;212;0;0;1504;1;0;0;1;44;0;0;0;28;0;4
0;10681;0;45;578;100;0;0;2;4;0;0;0;70;0;7
0;6;0;1;417;0;0;0;0;4;0;0;0;215;0;3
0;3163;0;42;418;2;0;0;0;0;0;0;0;10;24;3
0;8932;0;5;351;1;0;0;33;2;0;0;0;209;0;3
0;2;0;56;0;3;1;0;10;0;16;0;0;0;0;0
0;0;0;141;0;185;0;0;19;0;0;0;0;0;0;0
0;10;0;1;96;0;0;0;0;0;1;0;0;20;0;3
0;271;0;0;10;0;2;0;0;4;0;0;0;3;0;0
0;34;0;0;79;0;0;0;0;10;4;0;0;20;0;3
0;67;0;1;2663;0;1;5;2;9;5;0;0;18;0;4
0;15;0;10;138;0;0;0;0;0;0;0;0;18;61;6
0;36190;0;39;1090;1;0;0;6;103;0;0;0;443;0;12
0;9704;0;2;1004;0;0;0;1;8;0;0;0;69;0;3
0;6;0;1;206;1;0;0;11;0;0;0;0;291;11;3
0;32;0;22;2849;0;0;0;1;6;0;0;0;29;0;3
0;8;0;5;493;0;0;0;10;7;0;0;0;18;0;3
0;9643;0;0;112;0;0;0;0;3;0;0;0;18;0;5
0;14763;0;1;356;0;0;0;54;0;2;0;0;10;31;0
0;1045;0;0;10;0;1;0;4;1;0;0;0;31;0;3
0;706;0;1;37721;0;0;0;0;0;0;0;0;0;0;0
